121.40.66.bch,2017-06-29 00:00:00,2017-06-29 00:00:00,1,2
123.126.113.jgj,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
158.116.144.gai,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
174.46.252.cah,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
177.66.196.jfc,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
180.76.15.bji,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
180.76.15.ehg,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
220.181.108.jca,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
62.65.39.jcf,2017-06-29 00:00:00,2017-06-29 00:00:00,1,2
69.191.249.bcf,2017-06-29 00:00:00,2017-06-29 00:00:00,1,1
69.191.249.cga,2017-06-29 00:00:00,2017-06-29 00:00:00,1,2
121.40.158.hec,2017-06-29 00:00:00,2017-06-29 00:00:01,2,2
54.173.181.ghf,2017-06-29 00:00:00,2017-06-29 00:00:01,2,3
54.212.94.jcd,2017-06-29 00:00:00,2017-06-29 00:00:01,2,6
68.75.245.cjj,2017-06-29 00:00:00,2017-06-29 00:00:01,2,2
69.191.249.caa,2017-06-29 00:00:00,2017-06-29 00:00:01,2,2
69.191.249.chj,2017-06-29 00:00:00,2017-06-29 00:00:01,2,2
69.191.249.eaj,2017-06-29 00:00:00,2017-06-29 00:00:01,2,2
69.191.249.ghe,2017-06-29 00:00:00,2017-06-29 00:00:01,2,2
121.226.165.fhg,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
121.40.85.fbb,2017-06-29 00:00:01,2017-06-29 00:00:01,1,2
139.199.159.caf,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
180.76.15.egd,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
180.76.15.fjf,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
182.74.109.gjj,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
207.46.13.gfj,2017-06-29 00:00:01,2017-06-29 00:00:01,1,7
24.86.66.jde,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
31.221.13.jad,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
49.77.227.dfh,2017-06-29 00:00:01,2017-06-29 00:00:01,1,2
50.23.71.fdh,2017-06-29 00:00:01,2017-06-29 00:00:01,1,2
68.180.230.ede,2017-06-29 00:00:01,2017-06-29 00:00:01,1,2
69.191.249.bgg,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
69.191.249.gge,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
69.191.249.hbh,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
69.191.249.ijh,2017-06-29 00:00:01,2017-06-29 00:00:01,1,1
99.238.177.hec,2017-06-29 00:00:01,2017-06-29 00:00:01,1,2
121.40.94.bcj,2017-06-29 00:00:00,2017-06-29 00:00:02,3,8
203.0.72.eja,2017-06-29 00:00:00,2017-06-29 00:00:02,3,2
69.191.249.bdh,2017-06-29 00:00:00,2017-06-29 00:00:02,3,2
69.191.249.eff,2017-06-29 00:00:00,2017-06-29 00:00:02,3,2
120.26.124.hbc,2017-06-29 00:00:01,2017-06-29 00:00:02,2,2
120.26.129.hec,2017-06-29 00:00:01,2017-06-29 00:00:02,2,2
141.8.143.idd,2017-06-29 00:00:01,2017-06-29 00:00:02,2,2
163.231.6.bij,2017-06-29 00:00:01,2017-06-29 00:00:02,2,9
104.130.12.hfe,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
107.178.195.aag,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
107.178.195.bjg,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
107.178.195.chj,2017-06-29 00:00:02,2017-06-29 00:00:02,1,2
107.178.195.djc,2017-06-29 00:00:02,2017-06-29 00:00:02,1,4
107.178.195.eff,2017-06-29 00:00:02,2017-06-29 00:00:02,1,2
107.22.225.dea,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
114.230.99.dda,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
121.40.66.gjj,2017-06-29 00:00:02,2017-06-29 00:00:02,1,2
139.57.217.iah,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
148.251.42.eib,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
163.172.71.jij,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
220.181.108.gha,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
65.92.86.ccg,2017-06-29 00:00:02,2017-06-29 00:00:02,1,3
67.133.97.aah,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
71.127.240.hie,2017-06-29 00:00:02,2017-06-29 00:00:02,1,1
172.250.17.bji,2017-06-29 00:00:00,2017-06-29 00:00:03,4,9
204.4.182.eag,2017-06-29 00:00:00,2017-06-29 00:00:03,4,2
216.182.174.jdd,2017-06-29 00:00:00,2017-06-29 00:00:03,4,2
50.59.105.jde,2017-06-29 00:00:01,2017-06-29 00:00:03,3,2
66.249.66.aag,2017-06-29 00:00:01,2017-06-29 00:00:03,3,3
